City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,grand falls-windsor,48.9332,-55.6649,282.87,77,100,4.13,CA,1728769792
214,caetes,-8.7731,-36.6225,294.62,60,44,6.57,BR,1728769793
215,acarau,-2.8856,-40.12,299.3,74,36,8.0,BR,1728769794
216,phang nga,8.4509,98.5298,296.9,96,58,0.9,TH,1728769795
217,portland,45.5234,-122.6762,298.4,42,0,2.57,US,1728769448
218,yaren,-0.5472,166.916,301.38,73,17,5.76,NR,1728769799
219,vernon,50.2581,-119.2691,294.12,36,7,1.03,CA,1728769800
220,geraldton,-28.7667,114.6,288.38,82,100,3.09,AU,1728769801
221,revda,56.801,59.9303,268.59,80,8,0.19,RU,1728769802
222,svetlyy,54.675,20.1347,281.32,69,90,4.42,RU,1728769803
223,lock haven,41.137,-77.4469,288.89,64,91,0.23,US,1728769804
224,sievi,63.9,24.5,274.66,97,54,2.59,FI,1728769805
225,mantua,45.1667,10.7833,289.25,90,100,0.89,IT,1728769806
226,saint-paul,-21.0096,55.2707,294.56,89,87,1.3,RE,1728769790
227,crucecita,-28.95,-58.9833,296.77,52,50,3.89,AR,1728769809
228,minas de marcona,-15.2119,-75.1103,289.61,61,47,6.75,PE,1728769810
229,rosetta,31.4044,30.4164,296.58,80,93,2.81,EG,1728769811
230,saipan,15.1355,145.701,301.54,83,40,2.06,MP,1728769786
231,choibalsan,48.0667,114.5,282.92,54,100,4.05,MN,1728769813
232,rosalie,15.3667,-61.2667,302.54,77,100,3.71,DM,1728769814
233,malvan,16.0667,73.4667,298.99,91,26,5.02,IN,1728769633
234,buta,2.7858,24.73,294.15,95,96,0.11,CD,1728769816
235,hastings,50.8552,0.5729,283.03,39,38,9.54,GB,1728769817
236,iskateley,67.6803,53.1512,275.29,84,100,8.52,RU,1728769818
237,katsuura,35.1333,140.3,293.93,79,48,5.9,JP,1728769819
238,chonchi,-42.6128,-73.8092,282.06,98,100,0.9,CL,1728769821
239,maslyanino,54.3436,84.2111,268.55,71,100,5.39,RU,1728769822
240,valle de la pascua,9.2155,-66.0073,301.54,70,100,1.78,VE,1728769728
241,ghat,24.9647,10.1728,303.92,16,12,1.57,LY,1728769824
242,maragogi,-9.0122,-35.2225,297.63,82,51,3.85,BR,1728769825
243,mogocha,53.7333,119.7667,271.24,69,100,1.72,RU,1728769826
244,khandyga,62.6667,135.6,269.57,94,100,1.99,RU,1728769827
245,paradip garh,20.3167,86.6167,299.38,83,60,1.63,IN,1728769828
246,fredericton,45.9454,-66.6656,282.62,67,100,7.2,CA,1728769829
247,ceres,37.5949,-120.9577,300.91,45,0,5.14,US,1728769562
248,dudinka,69.4058,86.1778,267.7,93,100,6.96,RU,1728769832
249,arkhangel'sk,64.5401,40.5433,280.21,100,100,4.0,RU,1728769833
250,kolosovka,56.4678,73.611,267.29,84,7,2.77,RU,1728769834
251,digapahandi,19.3667,84.5833,296.99,93,87,0.87,IN,1728769835
252,san juan de miraflores,-12.1629,-76.9635,290.44,78,85,3.8,PE,1728769836
253,sant lluis,39.8526,4.2594,294.37,83,40,4.63,ES,1728769837
254,san julian,21.0167,-102.1667,295.73,25,5,3.59,MX,1728769838
255,callao,-12.0667,-77.15,291.31,77,75,5.14,PE,1728769808
256,north bend,43.4065,-124.2243,295.52,72,40,4.63,US,1728769840
257,tura,25.5198,90.2201,294.21,78,19,1.49,IN,1728769841
